Data,Nazwa pola,Lokalizacja,Wydajność (kg/h),Wilgotność (%),pH,Próchnica (%),P,K,Mg,B,Cu,Zn,Mn,EC,Struktura gleby,Rodzaj zasiewu,Nawożenie,Typ gleby
,Pole C,"52.7965, 20.1834",1579.7,73.9,6.1,0.9,42.1,93.4,47.1,1.01,0.4,3.75,95.1,0.2,piasek,Kukurydza,Fosforowe,Ilasta
,Pole A,"52.4319, 20.2912",1411.9,55.6,5.5,2.0,41.9,165.6,54.0,0.82,1.31,0.71,68.6,0.76,glina,Pszenica,Azotowe,Ilasta
,Pole B,"52.3854, 20.016",1030.9,59.6,6.9,2.9,68.3,67.7,76.9,0.36,1.58,2.41,36.6,2.07,piasek,Rzepak,Fosforowe,Ilasta
,Pole B,"52.3952, 20.9267",1527.3,63.1,6.5,2.6,77.3,175.1,119.7,0.86,1.3,4.84,68.6,1.11,piasek,Rzepak,Azotowe,Piaszczysta
,Pole A,"52.9869, 20.7722",998.7,50.2,7.4,3.3,61.0,163.4,38.9,0.6,0.5,4.38,69.9,1.29,glina,Rzepak,Fosforowe,Piaszczysta
,Pole C,"52.5913, 20.2747",1361.2,65.3,7.9,3.9,60.5,77.8,60.7,0.16,1.51,1.0,55.1,0.87,glina,Kukurydza,Azotowe,Ilasta
,Pole A,"52.2493, 20.4104",1555.6,59.2,4.8,1.7,21.3,188.8,127.0,0.99,1.78,4.12,34.9,3.15,glina,Soja,Fosforowe,Gliniana
,Pole A,"52.318, 20.1101",1027.9,67.1,7.4,3.9,10.5,121.7,80.1,0.41,0.5,2.02,95.4,1.27,piasek,Soja,Azotowe,Ilasta
,Pole A,"52.2539, 20.2469",1496.3,78.5,5.0,4.5,28.7,196.3,79.3,0.15,0.89,3.35,74.5,1.95,ił,Soja,Fosforowe,Gliniana
,Pole C,"52.7616, 20.2376",1528.2,64.7,6.7,3.0,47.5,54.4,130.2,0.55,0.62,0.68,67.3,2.44,glina,Pszenica,Kompost,Gliniana
,Pole C,"52.3487, 20.0962",1740.5,65.9,6.3,3.9,57.3,157.6,55.1,0.86,1.48,1.53,34.0,3.44,piasek,Pszenica,Azotowe,Ilasta
,Pole A,"52.9004, 20.6331",1139.0,64.0,7.0,4.1,72.1,164.8,107.0,0.22,0.57,4.54,68.5,0.23,ił,Kukurydza,Kompost,Piaszczysta
,Pole A,"52.2839, 20.3054",1285.6,67.9,8.0,1.2,11.3,119.0,51.5,0.61,1.57,3.74,44.6,1.99,glina,Rzepak,Fosforowe,Gliniana
,Pole B,"52.244, 20.973",1193.1,85.7,6.7,3.7,45.2,132.3,89.1,0.37,1.53,1.76,21.9,2.33,piasek,Soja,Fosforowe,Piaszczysta
,Pole B,"52.9149, 20.3702",815.5,87.1,6.0,4.4,77.5,176.5,65.3,0.64,1.75,1.93,33.6,2.04,glina,Pszenica,Fosforowe,Gliniana
,Pole B,"52.0972, 20.615",1790.1,55.6,6.3,4.0,61.9,151.5,114.3,0.6,0.8,4.14,84.8,3.06,piasek,Soja,Fosforowe,Gliniana
,Pole A,"52.6279, 20.1943",870.9,65.9,4.7,4.0,11.9,132.6,82.6,1.04,0.86,1.2,98.5,2.97,ił,Pszenica,Azotowe,Ilasta
,Pole B,"52.3033, 20.5371",1126.7,83.1,5.5,4.4,42.0,174.7,53.3,0.68,1.49,1.12,30.6,3.4,ił,Pszenica,Kompost,Piaszczysta
,Pole C,"52.4335, 20.744",1050.9,57.4,4.8,2.2,58.2,49.3,139.8,0.72,0.71,0.92,34.6,3.28,piasek,Soja,Azotowe,Gliniana
,Pole C,"52.4357, 20.73",847.7,72.6,5.1,1.0,33.9,54.7,41.3,0.54,1.97,1.29,21.4,2.72,piasek,Rzepak,Azotowe,Ilasta
,Pole B,"52.6498, 20.0481",1749.1,85.5,5.4,0.6,75.3,120.2,94.7,1.06,1.35,4.75,95.5,3.06,glina,Soja,Fosforowe,Gliniana
,Pole A,"52.4583, 20.5456",1741.5,65.4,7.9,4.1,23.7,51.1,42.1,0.13,0.46,3.57,25.7,1.25,ił,Pszenica,Fosforowe,Ilasta
,Pole B,"52.2607, 20.496",1492.9,63.9,7.8,0.7,39.3,194.8,95.8,0.69,1.27,3.09,78.5,0.62,piasek,Rzepak,Kompost,Ilasta
,Pole A,"52.2386, 20.6798",1539.9,59.5,5.8,2.6,44.8,102.3,65.7,0.24,0.39,4.81,87.8,1.37,ił,Rzepak,Kompost,Ilasta
,Pole C,"52.0833, 20.0917",1402.4,72.1,5.2,4.3,64.7,58.2,141.7,1.46,1.99,0.75,79.0,2.0,glina,Pszenica,Kompost,Piaszczysta
,Pole B,"52.837, 20.8669",1638.5,67.0,5.3,2.1,72.4,63.5,91.6,0.43,1.29,4.38,90.4,0.98,glina,Kukurydza,Azotowe,Ilasta
,Pole C,"52.4817, 20.378",1505.1,59.9,5.7,2.2,27.8,104.8,98.6,1.14,1.6,4.2,79.5,2.45,ił,Kukurydza,Kompost,Piaszczysta
,Pole A,"52.8686, 20.2236",1763.2,50.5,7.9,0.7,72.4,124.4,149.2,0.2,1.24,4.86,61.8,2.28,ił,Rzepak,Kompost,Piaszczysta
,Pole A,"52.6969, 20.3842",1537.1,86.6,7.9,0.7,37.6,57.1,70.3,0.34,1.4,2.25,38.4,1.08,piasek,Kukurydza,Kompost,Ilasta
,Pole C,"52.5361, 20.3095",1613.8,77.4,5.1,4.1,67.6,192.0,117.1,0.96,1.01,4.7,89.3,0.35,glina,Soja,Azotowe,Ilasta
,Pole A,"52.4804, 20.9853",1176.7,80.0,5.9,3.8,49.8,50.2,34.4,0.29,0.32,0.84,75.3,1.96,piasek,Pszenica,Kompost,Piaszczysta
,Pole C,"52.769, 20.9448",1649.6,59.9,6.1,1.0,76.8,137.0,57.4,1.04,1.35,2.11,29.1,2.42,ił,Pszenica,Fosforowe,Gliniana
,Pole C,"52.3078, 20.8164",1768.0,53.5,7.3,2.9,43.6,107.3,124.2,1.0,1.67,4.56,69.4,3.44,ił,Pszenica,Fosforowe,Ilasta
,Pole C,"52.4375, 20.9042",1148.3,70.6,7.2,2.1,53.5,178.0,143.9,0.31,1.88,2.71,40.7,1.72,ił,Pszenica,Azotowe,Ilasta
,Pole A,"52.2091, 20.5796",1141.6,71.5,6.1,2.8,38.0,151.6,51.6,1.08,1.0,4.43,61.2,3.41,piasek,Pszenica,Kompost,Gliniana
,Pole A,"52.1689, 20.2786",977.0,53.5,4.9,2.3,24.4,98.3,90.4,1.07,0.37,4.1,70.2,0.47,ił,Rzepak,Kompost,Piaszczysta
,Pole A,"52.2769, 20.8062",1548.3,57.4,5.2,2.0,43.9,138.9,74.3,0.75,1.57,0.67,40.2,2.55,glina,Rzepak,Fosforowe,Gliniana
,Pole C,"52.0305, 20.8672",1154.1,65.9,4.9,3.4,22.8,130.2,130.9,0.22,1.21,1.55,47.4,1.76,ił,Rzepak,Azotowe,Piaszczysta
